가행광여부,광산명,광산유형,시도,시군구,읍면동,리
폐광,석탄,(가)보문,대전,동구,낭월동,
폐광,석탄,(가)삼청,대전,동구,삼괴동,
폐광,비금속,덕명,대전,유성구,구암동,
폐광,금속,평촌,대전,대덕구,신탄진동,
폐광,비금속,보원,충북,괴산군,감물면,광전리
폐광,금속,안민동,충북,괴산군,감물면,광전리
폐광,비금속,인창,충북,괴산군,감물면,구월리
폐광,비금속,심불,충북,괴산군,감물면,매전리
폐광,금속,증자동,충북,괴산군,감물면,매전리
폐광,비금속,서일,충북,괴산군,괴산읍,검승리
폐광,금속,우진,충북,괴산군,괴산읍,능촌리
폐광,금속,(가)신항,충북,괴산군,괴산읍,신항리
폐광,비금속,광덕,충북,괴산군,문광면,광덕리
폐광,석탄,삼탄-삼덕,강원,정선군,고한읍,고한리
폐광,비금속,문광규석,충북,괴산군,문광면,신기리
폐광,석탄,옥성,충북,괴산군,문광면,옥성리
폐광,금속,만정,충북,괴산군,불정면,삼방리
폐광,금속,삼신,충북,괴산군,불정면,삼방리
폐광,금속,어래,충북,괴산군,불정면,삼방리
폐광,금속,(가)신흥리,충북,괴산군,불정면,신흥리
폐광,비금속,웅동,충북,괴산군,불정면,웅동리
폐광,비금속,(가)웅동리,충북,괴산군,불정면,웅동리
폐광,금속,괴산철,충북,괴산군,불정면,삼방리
폐광,금속,건일,충북,괴산군,불정면,창산리
폐광,비금속,대일규석,충북,괴산군,불정면,창산리
폐광,금속,보영,충북,괴산군,불정면,창산리
폐광,금속,범진,충북,괴산군,사리면,수암리
폐광,금속,창금,충북,괴산군,사리면,이곡리
폐광,금속,창금산,충북,괴산군,사리면,이곡리
폐광,금속,철수,충북,괴산군,사리면,이곡리
폐광,금속,소암,충북,괴산군,사리면,사담리
폐광,비금속,괴산고령토,충북,괴산군,소수면,소암리
폐광,금속,소암,충북,괴산군,소수면,소암리
폐광,비금속,연풍장석,충북,괴산군,연풍면,갈금리
폐광,비금속,대불,충북,괴산군,연풍면,원풍리
폐광,비금속,대불(109),충북,괴산군,연풍면,원풍리
폐광,비금속,수풍,충북,괴산군,연풍면,원풍리
폐광,비금속,(가)신풍리,충북,괴산군,연풍면,원풍리
폐광,금속,연풍도양(조령),충북,괴산군,연풍면,원풍리
폐광,금속,원풍,충북,괴산군,연풍면,원풍리
폐광,비금속,풍령,충북,괴산군,연풍면,원풍리
폐광,금속,"만장(004만장,005만장)",충북,괴산군,연풍면,유상리
폐광,비금속,유봉,충북,괴산군,연풍면,유하리
폐광,비금속,(가)삼우,충북,괴산군,연풍면,유하리
폐광,금속,입석,충북,괴산군,연풍면,적석리
폐광,금속,입석,충북,괴산군,연풍면,적석리
폐광,비금속,입석,충북,괴산군,연풍면,적석리
폐광,비금속,금강석회,충북,괴산군,연풍면,주진리
폐광,비금속,연풍장석,충북,괴산군,연풍면,주진리
폐광,금속,천보,충북,괴산군,연풍면,행촌리
폐광,비금속,(가)행촌리,충북,괴산군,연풍면,행촌리
폐광,금속,만정,충북,괴산군,장연면,송덕리
폐광,금속,삼원,충북,괴산군,장연면,오가리
폐광,금속,장풍,충북,괴산군,장연면,오가리
폐광,비금속,삼조광업,충북,괴산군,장연면,추점리
폐광,금속,성보(옥진),충북,괴산군,청안면,문방리
폐광,비금속,신흥석회,충북,괴산군,청안면,부흥리
폐광,금속,수정광산,충북,괴산군,사리면,수암리
폐광,금속,금화,충북,괴산군,청안면,장암리
폐광,금속,장암,충북,괴산군,청안면,장암리
폐광,비금속,장암석회석,충북,괴산군,청안면,장암리
폐광,금속,조천광산,충북,괴산군,청안면,조천리
폐광,금속,(가)조천리,충북,괴산군,청안면,조천리
폐광,금속,황암,충북,괴산군,청안면,조천리
폐광,금속,입장,충북,괴산군,청안면,금신리
폐광,금속,청안(칠보),충북,괴산군,청안면,효근리
폐광,금속,고촌,충북,괴산군,청안면,효근리
폐광,금속,청천,충북,괴산군,청천면,고성리
폐광,금속,조봉,충북,괴산군,청천면,귀만리
폐광,비금속,청천,충북,괴산군,청천면,귀만리
폐광,금속,(가)덕평리,충북,괴산군,청천면,덕평리
폐광,석탄,동성,충북,괴산군,청천면,덕평리
폐광,금속,청천,충북,괴산군,청천면,무릉리
폐광,비금속,부흥,충북,괴산군,청천면,삼락리
폐광,금속,대원,충북,괴산군,청천면,삼송리
폐광,비금속,오성실업,충북,괴산군,청천면,삼송리
폐광,금속,"천년,천대",충북,괴산군,청천면,삼송리
폐광,금속,청천,충북,괴산군,청천면,신월리
폐광,금속,태응,충북,괴산군,청천면,운교리
폐광,금속,청천,충북,괴산군,청천면,후평리
폐광,비금속,칠성,충북,괴산군,칠성면,비도리
폐광,비금속,삼혁규석,충북,괴산군,칠성면,송동리
폐광,금속,칠성,충북,괴산군,칠성면,외사리
폐광,금속,(가)지곡,충북,괴산군,칠성면,율지리
폐광,금속,칠보,충북,괴산군,칠성면,율지리
폐광,비금속,영춘납석,충북,단양군,가곡면,가대리
폐광,금속,(가)가곡,충북,단양군,가곡면,대대리
폐광,금속,단양보천,충북,단양군,가곡면,대대리
폐광,금속,향남,충북,단양군,가곡면,대대리
폐광,석탄,대덕(269),충북,단양군,가곡면,대대리
폐광,석탄,삼일,충북,단양군,가곡면,대대리
폐광,비금속,보발석회,충북,단양군,가곡면,보발리
폐광,석탄,대성보성,충북,단양군,가곡면,보발리
폐광,석탄,보성,충북,단양군,가곡면,보발리
폐광,석탄,보은흥일,충북,단양군,가곡면,보발리
폐광,금속,은곡(130),충북,단양군,가곡면,사평리
폐광,비금속,여천,충북,단양군,가곡면,여천리
폐광,비금속,백광여천,충북,단양군,가곡면,여천리
폐광,비금속,대현납석,충북,단양군,가곡면,보발리
폐광,비금속,영성활석(464흥국),충북,옥천군,이원면,지탄리
폐광,비금속,봉양규석,충북,단양군,단성면,가산리
폐광,비금속,대강,충북,단양군,단성면,가산리
폐광,비금속,사봉,충북,단양군,단성면,고평리
폐광,금속,(가)대잠리,충북,단양군,단성면,대잠리
폐광,비금속,두항활석,충북,단양군,단성면,두항리
폐광,비금속,(가)양당,충북,단양군,단성면,양당리
폐광,금속,(가)양당아연,충북,단양군,단성면,양당리
폐광,비금속,구미형석,충북,단양군,단성면,외중방리
폐광,금속,대덕(115),충북,단양군,단성면,장회리
폐광,비금속,제2구성,충북,단양군,단성면,장회리
폐광,비금속,덕운,충북,단양군,단성면,중방리
폐광,비금속,태백,충북,단양군,단성면,중방리
폐광,석탄,봉양,충북,단양군,단성면,회산리
폐광,금속,유양,충북,단양군,단성면,회산리
폐광,금속,연천,충북,단양군,단양읍,금곡리
폐광,석탄,대성창원,충북,단양군,단양읍,노동리
폐광,비금속,백광석회석,충북,단양군,단양읍,노동리
폐광,비금속,한일석회,충북,단양군,단양읍,노동리
폐광,비금속,대강,충북,단양군,단양읍,덕상리
폐광,석탄,단양(234),충북,단양군,단양읍,덕상리
폐광,석탄,단양덕상,충북,단양군,단양읍,덕상리
폐광,비금속,단양석회,충북,단양군,단양읍,현천리
폐광,비금속,충남신광석회,충북,단양군,단양읍,상진리
폐광,비금속,장자,충북,단양군,단양읍,심곡리
폐광,비금속,거도,충북,단양군,단양읍,천동리
폐광,비금속,덕상,충북,단양군,단양읍,현천리
폐광,금속,용암,충남,서산시,고북면,용암리
폐광,금속,연봉,충북,단양군,대강면,괴평리
폐광,비금속,대성,충북,단양군,대강면,두음리
폐광,금속,양명,충남,부여군,임천면,구교리
폐광,비금속,미선(222),충북,단양군,대강면,두음리
폐광,금속,가은,충북,단양군,적성면,상리
폐광,비금속,성경,충북,단양군,대강면,두음리
폐광,비금속,신화,충북,단양군,대강면,두음리
폐광,비금속,미노,충북,단양군,대강면,미노리
폐광,비금속,소백,충북,단양군,대강면,올산리
폐광,비금속,(가)올산리,충북,단양군,대강면,올산리
폐광,비금속,대강규석,충북,단양군,대강면,황정리
폐광,금속,문강,충북,단양군,대강면,직티리
폐광,비금속,천은,충북,단양군,매포읍,고양리
폐광,비금속,신광,충북,단양군,매포읍,매포리
폐광,금속,삼곡,충북,단양군,매포읍,삼곡리
폐광,비금속,청림,충북,단양군,매포읍,고양리
폐광,비금속,한일,충북,단양군,매포읍,상괴리
폐광,금속,삼곡,충북,단양군,매포읍,영천리
폐광,비금속,한흥실업미원석회,충북,단양군,매포읍,영천리
폐광,비금속,도담,충북,단양군,매포읍,매포리
폐광,금속,청양,충남,청양군,장평면,지천리
폐광,비금속,부국석회,충북,단양군,어상천면,대전리
폐광,비금속,석교석회,충북,단양군,어상천면,석교리
폐광,비금속,석교석회,충북,단양군,어상천면,석교리
폐광,비금속,태창,충북,단양군,어상천면,연곡리
폐광,비금속,태창석회,충북,단양군,어상천면,연곡리
폐광,금속,어상천2,충북,단양군,어상천면,임현리
폐광,금속,어상천1,충북,단양군,어상천면,임현리
폐광,비금속,영춘규석,충북,단양군,영춘면,남천리
폐광,비금속,대동,충북,단양군,영춘면,동대리
폐광,비금속,대창,충북,단양군,영춘면,동대리
폐광,비금속,선우단양,충북,단양군,영춘면,동대리
폐광,비금속,동대석회,충북,단양군,영춘면,동대리
폐광,금속,옥풍,충북,단양군,영춘면,동대리
폐광,비금속,제일동대,충북,단양군,영춘면,동대리
폐광,비금속,송전,충북,단양군,영춘면,만종리
폐광,비금속,세영벤토나이트,충북,단양군,영춘면,사이곡리
